Uri,,,,,,,,,,,,,,,,,
Uri,Component Name,,Curve Index,Weighting Index,Origin Index,Equation,,,,,,,,,,,
Uri,Uri,,Linear,1/X,Ignore,Y = 292.135+1513.01*X   R^2 = 0.9982,,,,,,,,,,,
Uri,,,,,,,,Specified,Calculated,,,,,,,,
Compound,Filename,Sample Type,Sample Name,Integ. Type,Height,ISTD Height,Height,Amount,Amount,%Diff,%RSD-RESP,Peak Status,Level,Units,RT,Sample ID,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_22,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_23,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_24,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_25,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_26,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_27,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_28,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_29,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_30,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_31,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_32,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_33,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_cal_01,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_cal_02,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_cal_03,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_cal_04,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_cal_05,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_wash_MeOH_cal_06,Blank Sample,,Method Settings,NF,NA,NF,NA,NF,NF,NF,Not Found,NA,,NF,wash,
Uri,20181029_GM_2O-Me_Exp_M1_S1_1to100_01,Unknown Sample,,Method Settings,340601,NA,NA,NA,224.922,NA,NA,Response High,NA,,2.36,M1_S1 1to100,
Uri,20181029_GM_2O-Me_Exp_M1_S1_1to100_02,Unknown Sample,,Method Settings,340877,NA,NA,NA,225.104,NA,NA,Response High,NA,,2.36,M1_S1 1to100,
Uri,20181029_GM_2O-Me_Exp_M1_S1_1to100_03,Unknown Sample,,Method Settings,345551,NA,NA,NA,228.193,NA,NA,Response High,NA,,2.36,M1_S1 1to100,
Uri,20181029_GM_2O-Me_Exp_M1_S1_1to10k_01,Unknown Sample,,Method Settings,5842,NA,NA,NA,3.668,NA,NA,,NA,,2.37,M1_S1 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1_S1_1to10k_02,Unknown Sample,,Method Settings,5499,NA,NA,NA,3.441,NA,NA,,NA,,2.38,M1_S1 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1_S1_1to10k_03,Unknown Sample,,Method Settings,5766,NA,NA,NA,3.618,NA,NA,,NA,,2.38,M1_S1 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_01,Unknown Sample,,Method Settings,268995,NA,NA,NA,177.595,NA,NA,Response High,NA,,2.35,M1_S1_Col 1to100,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_02,Unknown Sample,,Method Settings,270939,NA,NA,NA,178.880,NA,NA,Response High,NA,,2.37,M1_S1_Col 1to100,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Col_1to100_03,Unknown Sample,,Method Settings,273532,NA,NA,NA,180.593,NA,NA,Response High,NA,,2.37,M1_S1_Col 1to100,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_01,Unknown Sample,,Method Settings,5398,NA,NA,NA,3.374,NA,NA,,NA,,2.34,M1_S1_Col 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_02,Unknown Sample,,Method Settings,5622,NA,NA,NA,3.523,NA,NA,,NA,,2.35,M1_S1_Col 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Col_1to10k_03,Unknown Sample,,Method Settings,5326,NA,NA,NA,3.327,NA,NA,,NA,,2.37,M1_S1_Col 1to10k,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_01,Unknown Sample,,Method Settings,222937,NA,NA,NA,147.154,NA,NA,Response High,NA,,2.35,M1_S1_Extr 1to100,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_02,Unknown Sample,,Method Settings,214324,NA,NA,NA,141.461,NA,NA,Response High,NA,,2.36,M1_S1_Extr 1to100,
Uri,20181029_GM_2O-Me_Exp_M1_S1_Extr_1to100_03,Unknown Sample,,Method Settings,223274,NA,NA,NA,147.376,NA,NA,Response High,NA,,2.36,M1_S1_Extr 1to100,
